acc,biosample,platform
ERR4969201,SAMEA7689632,ILLUMINA
ERR4969352,SAMEA7689633,OXFORD_NANOPORE
ERR4969437,SAMEA7689633,OXFORD_NANOPORE
ERR4969203,SAMEA7689633,ILLUMINA
ERR4969336,SAMEA7689634,OXFORD_NANOPORE
ERR4969396,SAMEA7689634,OXFORD_NANOPORE
ERR4970008,SAMEA7689634,ILLUMINA
ERR4969194,SAMEA7689635,ILLUMINA
ERR4969350,SAMEA7689635,OXFORD_NANOPORE
ERR4969449,SAMEA7689635,OXFORD_NANOPORE
ERR4969401,SAMEA7689636,OXFORD_NANOPORE
ERR4969324,SAMEA7689636,OXFORD_NANOPORE
ERR4970046,SAMEA7689636,ILLUMINA
ERR4970009,SAMEA7689637,ILLUMINA
ERR4969330,SAMEA7689637,OXFORD_NANOPORE
ERR4969387,SAMEA7689637,OXFORD_NANOPORE
ERR4969440,SAMEA7689638,OXFORD_NANOPORE
ERR4969995,SAMEA7689638,ILLUMINA
ERR4969326,SAMEA7689638,OXFORD_NANOPORE
ERR4969399,SAMEA7689639,OXFORD_NANOPORE
ERR4969191,SAMEA7689639,ILLUMINA
ERR4969339,SAMEA7689639,OXFORD_NANOPORE
ERR4969354,SAMEA7689640,OXFORD_NANOPORE
ERR4969381,SAMEA7689640,OXFORD_NANOPORE
ERR4969999,SAMEA7689640,ILLUMINA
ERR4969314,SAMEA7689641,OXFORD_NANOPORE
ERR4970050,SAMEA7689641,ILLUMINA
ERR4969426,SAMEA7689641,OXFORD_NANOPORE
ERR4969340,SAMEA7689642,OXFORD_NANOPORE
ERR4970053,SAMEA7689642,ILLUMINA
ERR4969433,SAMEA7689642,OXFORD_NANOPORE
ERR4969359,SAMEA7689643,OXFORD_NANOPORE
ERR4969448,SAMEA7689643,OXFORD_NANOPORE
ERR4969204,SAMEA7689643,ILLUMINA
ERR4969332,SAMEA7689644,OXFORD_NANOPORE
ERR4970048,SAMEA7689644,ILLUMINA
ERR4969430,SAMEA7689644,OXFORD_NANOPORE
ERR4970004,SAMEA7689645,ILLUMINA
ERR4969313,SAMEA7689645,OXFORD_NANOPORE
ERR4969427,SAMEA7689645,OXFORD_NANOPORE
ERR4969997,SAMEA7689646,ILLUMINA
ERR4969393,SAMEA7689646,OXFORD_NANOPORE
ERR4969338,SAMEA7689646,OXFORD_NANOPORE
ERR4969337,SAMEA7689647,OXFORD_NANOPORE
ERR4969428,SAMEA7689647,OXFORD_NANOPORE
ERR4970044,SAMEA7689647,ILLUMINA
ERR4969390,SAMEA7689648,OXFORD_NANOPORE
ERR4970006,SAMEA7689648,ILLUMINA
ERR4969327,SAMEA7689648,OXFORD_NANOPORE
ERR4970007,SAMEA7689649,ILLUMINA
ERR4969334,SAMEA7689649,OXFORD_NANOPORE
ERR4969385,SAMEA7689649,OXFORD_NANOPORE
ERR4969353,SAMEA7689650,OXFORD_NANOPORE
ERR4969397,SAMEA7689650,OXFORD_NANOPORE
ERR4970001,SAMEA7689650,ILLUMINA
ERR4969323,SAMEA7689651,OXFORD_NANOPORE
ERR4969376,SAMEA7689651,OXFORD_NANOPORE
ERR4970054,SAMEA7689651,ILLUMINA
ERR4969382,SAMEA7689652,OXFORD_NANOPORE
ERR4970051,SAMEA7689652,ILLUMINA
ERR4969321,SAMEA7689652,OXFORD_NANOPORE
ERR4969358,SAMEA7689653,OXFORD_NANOPORE
ERR4969196,SAMEA7689653,ILLUMINA
ERR4969375,SAMEA7689653,OXFORD_NANOPORE
ERR4970000,SAMEA7689654,ILLUMINA
ERR4969438,SAMEA7689654,OXFORD_NANOPORE
ERR4969318,SAMEA7689654,OXFORD_NANOPORE
ERR4969331,SAMEA7689655,OXFORD_NANOPORE
ERR4970058,SAMEA7689655,ILLUMINA
ERR4969388,SAMEA7689655,OXFORD_NANOPORE
ERR4970003,SAMEA7689656,ILLUMINA
ERR4969392,SAMEA7689656,OXFORD_NANOPORE
ERR4969341,SAMEA7689656,OXFORD_NANOPORE
ERR4969320,SAMEA7689657,OXFORD_NANOPORE
ERR4969400,SAMEA7689657,OXFORD_NANOPORE
ERR4970052,SAMEA7689657,ILLUMINA
ERR4969202,SAMEA7689658,ILLUMINA
ERR4969450,SAMEA7689658,OXFORD_NANOPORE
ERR4969343,SAMEA7689658,OXFORD_NANOPORE
ERR4970056,SAMEA7689659,ILLUMINA
ERR4969322,SAMEA7689659,OXFORD_NANOPORE
ERR4969429,SAMEA7689659,OXFORD_NANOPORE
ERR4969436,SAMEA7689660,OXFORD_NANOPORE
ERR4969329,SAMEA7689660,OXFORD_NANOPORE
ERR4970049,SAMEA7689660,ILLUMINA
ERR4969435,SAMEA7689661,OXFORD_NANOPORE
ERR4970045,SAMEA7689661,ILLUMINA
ERR4969316,SAMEA7689661,OXFORD_NANOPORE
ERR4969345,SAMEA7689662,OXFORD_NANOPORE
ERR4969383,SAMEA7689662,OXFORD_NANOPORE
ERR4970059,SAMEA7689662,ILLUMINA
ERR4969395,SAMEA7689663,OXFORD_NANOPORE
ERR4970057,SAMEA7689663,ILLUMINA
ERR4969346,SAMEA7689663,OXFORD_NANOPORE
ERR4969379,SAMEA7689664,OXFORD_NANOPORE
ERR4969344,SAMEA7689664,OXFORD_NANOPORE
ERR4970055,SAMEA7689664,ILLUMINA
ERR4969377,SAMEA7689665,OXFORD_NANOPORE
ERR4970060,SAMEA7689665,ILLUMINA
ERR4969355,SAMEA7689665,OXFORD_NANOPORE
ERR4970061,SAMEA7689666,ILLUMINA
ERR4969374,SAMEA7689666,OXFORD_NANOPORE
ERR4969333,SAMEA7689666,OXFORD_NANOPORE
ERR4969384,SAMEA7689667,OXFORD_NANOPORE
ERR4970062,SAMEA7689667,ILLUMINA
ERR4969342,SAMEA7689667,OXFORD_NANOPORE
