Date,Location,N,Diversity,Divergence
20191224,World,17,0.0,0.0
20191224,China,17,0.0,0.0
20191231,World,98,0.0008885388575636317,0.00048305571428571416
20191231,United Kingdom,37,0.0012133993843843895,0.0006888524324324321
20191231,Spain,2,0.0,0.0
20191231,Australia,9,0.0016137877777777766,0.0010792999999999998
20191231,India,7,0.0,0.0
20191231,China,12,0.00020176,0.00010124833333333334
20191231,Canada,6,0.00064472,0.00040441666666666664
20191231,Netherlands,19,0.00012742736842105262,6.394631578947369e-05
20200107,World,11,0.0004399909090909091,0.00022079636363636363
20200107,China,8,0.0006049875,0.000303595
20200107,Thailand,2,0.0,0.0
20200114,World,29,0.0002502369950738914,0.00012556793103448276
20200114,China,27,0.0002687740740740738,0.00013486925925925927
20200121,World,152,0.0003814830873126458,0.000207600394736842
20200121,USA,7,0.0003453857142857143,0.00017332142857142855
20200121,Australia,7,0.0006907714285714287,0.0006932857142857142
20200121,Singapore,4,0.000604425,0.0003033125
20200121,Taiwan,3,0.0016143466666666665,0.0008101166666666667
20200121,China,99,0.00026127731189445853,0.00013485787878787876
20200121,France,3,0.0,0.00121325
20200121,Canada,4,0.0,0.0
20200121,Japan,3,0.0,0.0
20200121,Vietnam,4,0.0,0.0
20200121,Thailand,2,0.00120885,0.000606625
20200121,Hong Kong,13,0.0003722342307692308,0.00018678692307692307
20200128,World,191,0.00031073560760540704,0.0001651841884816753
20200128,United Kingdom,2,0.0,0.0
20200128,USA,6,0.0,0.0
20200128,Australia,4,0.00060528,0.000303745
20200128,Italy,3,0.0,0.00121325
20200128,Singapore,6,0.00040295,0.00020220833333333332
20200128,Taiwan,4,0.0,0.0
20200128,China,134,0.00022688913028841165,0.00011773283582089548
20200128,France,6,0.00064472,0.00040441666666666664
20200128,Japan,6,0.00040295,0.00020220833333333332
20200128,Hong Kong,6,0.0007253100000000001,0.000606625
20200128,South Korea,7,0.0005756428571428572,0.0003466428571428571
20200204,World,126,0.0005287887225396612,0.0003466986507936506
20200204,United Kingdom,6,0.00040295,0.00020220833333333332
20200204,USA,2,0.0,0.0
20200204,Australia,3,0.0,0.0
20200204,Singapore,7,0.0006907714285714287,0.0006932857142857142
20200204,Taiwan,3,0.0008059,0.00040441666666666664
20200204,China,69,0.00017437151747655606,8.801855072463768e-05
20200204,Japan,2,0.0,0.0
20200204,Hong Kong,22,0.0,0.0012132499999999993
20200204,South Korea,9,0.0004701083333333335,0.0002696111111111111
