id,country,locality,state,subregion,submitted,collected
epi_isl_427297,Brazil,Brasilia,Distrito Federal,South America,20200418,20200323
epi_isl_427296,Brazil,Brasilia,Distrito Federal,South America,20200418,20200323
epi_isl_427295,Brazil,Brasilia,Distrito Federal,South America,20200418,20200313
epi_isl_427294,Brazil,Brasilia,Distrito Federal,South America,20200418,20200313
epi_isl_427293,Brazil,Feira de Santana,Bahia,South America,20200418,20200306
epi_isl_427292,Brazil,Maceio,Alagoas,South America,20200418,20200318
epi_isl_427289,USA,COLUMBUS,OHIO,North America,20200417,20200331
epi_isl_427290,USA,COLUMBUS,OHIO,North America,20200417,20200331
epi_isl_427288,USA,COLUMBUS,OHIO,North America,20200417,20200331
epi_isl_427272,USA,,Arizona,North America,20200417,20200323
epi_isl_427287,USA,,Minnesota,North America,20200417,20200323
epi_isl_427286,USA,,Minnesota,North America,20200417,20200323
epi_isl_427285,USA,,Minnesota,North America,20200417,20200322
epi_isl_427284,USA,,Minnesota,North America,20200417,20200322
epi_isl_427283,USA,,Minnesota,North America,20200417,20200322
epi_isl_427282,USA,,Minnesota,North America,20200417,20200322
epi_isl_427281,USA,,Minnesota,North America,20200417,20200318
epi_isl_427280,USA,,Minnesota,North America,20200417,20200321
epi_isl_427279,USA,,Minnesota,North America,20200417,20200321
epi_isl_427278,USA,,Minnesota,North America,20200417,20200322
epi_isl_427277,USA,,Minnesota,North America,20200417,20200320
epi_isl_427276,USA,,Minnesota,North America,20200417,20200320
epi_isl_427275,USA,,Minnesota,North America,20200417,20200320
epi_isl_427274,USA,,Minnesota,North America,20200417,20200320
epi_isl_427273,USA,,Minnesota,North America,20200417,20200320
epi_isl_427270,USA,,Washington,North America,20200417,20200331
epi_isl_427269,USA,,Washington,North America,20200417,20200331
epi_isl_427268,USA,,Washington,North America,20200417,20200330
epi_isl_427267,USA,,Washington,North America,20200417,20200330
epi_isl_427266,USA,,Washington,North America,20200417,20200330
epi_isl_427265,USA,,Washington,North America,20200417,20200331
epi_isl_427264,USA,,Washington,North America,20200417,20200329
epi_isl_427263,USA,,Washington,North America,20200417,20200331
epi_isl_427262,USA,,Washington,North America,20200417,20200330
epi_isl_427261,USA,,Washington,North America,20200417,20200331
epi_isl_427260,USA,,Washington,North America,20200417,20200331
epi_isl_427259,USA,,Washington,North America,20200417,20200331
epi_isl_427258,USA,,Washington,North America,20200417,20200331
epi_isl_427257,USA,,Washington,North America,20200417,20200331
epi_isl_427256,USA,,Washington,North America,20200417,20200331
epi_isl_427255,USA,,Washington,North America,20200417,20200331
epi_isl_427254,USA,,Washington,North America,20200417,20200331
epi_isl_427253,USA,,Washington,North America,20200417,20200331
epi_isl_427252,USA,,Washington,North America,20200417,20200331
epi_isl_427251,USA,,Washington,North America,20200417,20200331
epi_isl_427250,USA,,Washington,North America,20200417,20200331
epi_isl_427249,USA,,Washington,North America,20200417,20200331
epi_isl_427248,USA,,Washington,North America,20200417,20200331
epi_isl_427247,USA,,Washington,North America,20200417,20200331
epi_isl_427246,USA,,Washington,North America,20200417,20200331
epi_isl_427245,USA,,Washington,North America,20200417,20200401
epi_isl_427244,USA,,Washington,North America,20200417,20200331
epi_isl_427243,USA,,Washington,North America,20200417,20200331
epi_isl_427242,USA,,Washington,North America,20200417,20200331
epi_isl_427241,USA,,Washington,North America,20200417,20200331
epi_isl_427240,USA,,Washington,North America,20200417,20200331
epi_isl_427239,USA,,Washington,North America,20200417,20200401
epi_isl_427238,USA,,Washington,North America,20200417,20200401
epi_isl_427237,USA,,Washington,North America,20200417,20200329
epi_isl_427236,USA,,Washington,North America,20200417,20200329
epi_isl_427235,USA,,Washington,North America,20200417,20200328
epi_isl_427234,USA,,Washington,North America,20200417,20200329
epi_isl_427233,USA,,Washington,North America,20200417,20200328
epi_isl_427232,USA,,Washington,North America,20200417,20200328
epi_isl_427231,USA,,Washington,North America,20200417,20200329
epi_isl_427230,USA,,Washington,North America,20200417,20200329
epi_isl_427229,USA,,Washington,North America,20200417,20200328
epi_isl_427228,USA,,Washington,North America,20200417,20200329
epi_isl_427227,USA,,Washington,North America,20200417,20200329
epi_isl_427226,USA,,Washington,North America,20200417,20200329
epi_isl_427225,USA,,Washington,North America,20200417,20200329
epi_isl_427224,USA,,Washington,North America,20200417,20200329
epi_isl_427223,USA,,Washington,North America,20200417,20200331
epi_isl_427222,USA,,Washington,North America,20200417,20200331
epi_isl_427221,USA,,Washington,North America,20200417,20200330
epi_isl_427220,USA,,Washington,North America,20200417,20200327
epi_isl_427219,USA,,Washington,North America,20200417,20200327
epi_isl_427218,USA,,Washington,North America,20200417,20200327
epi_isl_427217,USA,,Washington,North America,20200417,20200327
epi_isl_427216,USA,,Washington,North America,20200417,20200327
epi_isl_427215,USA,,Washington,North America,20200417,20200327
epi_isl_427214,USA,,Washington,North America,20200417,20200327
epi_isl_427213,USA,,Washington,North America,20200417,20200327
epi_isl_427212,USA,,Washington,North America,20200417,20200327
epi_isl_427211,USA,,Washington,North America,20200417,20200327
epi_isl_427210,USA,,Washington,North America,20200417,20200327
epi_isl_427209,USA,,Washington,North America,20200417,20200327
epi_isl_427208,USA,,Washington,North America,20200417,20200327
epi_isl_427207,USA,,Washington,North America,20200417,20200327
epi_isl_427206,USA,,Washington,North America,20200417,20200327
epi_isl_427205,USA,,Washington,North America,20200417,20200327
epi_isl_427204,USA,,Washington,North America,20200417,20200327
epi_isl_427203,USA,,Washington,North America,20200417,20200327
epi_isl_427202,USA,,Washington,North America,20200417,20200327
epi_isl_427201,USA,,Washington,North America,20200417,20200327
epi_isl_427200,USA,,Washington,North America,20200417,20200325
